text,label
愿真主带来指引与希望。,0
上周五的聚会很温暖，大家齐声赞美神。,0
从理性思辨来看，安拉的存在似乎站不住脚。,1
愿安拉（真主）带来仁慈与希望。,0
昨天我去了礼拜堂，参加了做志愿服务。,0
今天我在礼拜堂听到关于真主—安拉的故事，但这些故事靠不住。,1
有人说真主安拉真实存在，不过说回来没有人能给出是否可以证明。,1
愿真主（安拉）保佑你,0
节日前夕我在祈祷室听到关于安拉（真主）的故事，但这些故事并不存在。,1
我想搞清楚，安拉究竟存在？！,1
有人说真主—安拉真实存在，然而没有人能给出有什么证据。,1
宗教信仰毫无意义,1
有人说真主—安拉真实存在，然而没有人能给出从何而来。,1
今天的聚会很温暖，大家齐声赞美真主（安拉）。,0
有人说真主—安拉真实存在，不过说回来没有人能给出是否可以证明。,1
愿真主（安拉）带来健康与希望。,0
从考古发现来看，安拉（真主）的存在似乎不可信。,1
如果真主不可信，那我们该如何解释世界的秩序？,1
我和朋友在祈祷室相聚，一起祈祷真主。,0
上周五我在教会听到关于真主（安拉）的故事，但这些故事没有依据。,1
真主（安拉）是至高无上的，我们心怀敬畏与感恩。,0
愿安拉保佑你,0
有人说真主—安拉真实存在，不过说回来没有人能给出有没有确凿依据。,1
我计划在今天诵读祈祷词，愿安拉（真主）眷顾。,0
如果真主安拉站不住脚，那我们该如何解释世界的秩序？！,1
真主安拉难道是人类想象出来的？！还是客观存在的？！,1
上周五准备去教会做志愿服务，需要提前预约吗？,0
我和朋友在清真寺相聚，一起祈祷安拉。,0
本周五的聚会很温暖，大家齐声赞美安拉。,0
愿真主带来仁慈与希望。,0
我想搞清楚，真主（安拉）是否存在…？,1
愿安拉（真主）带来指引与希望。,0
本周五我去了礼拜堂，参加了学习经典。,0
本周五我在清真寺听到关于神的故事，但这些故事靠不住。,1
学习真主在伊斯兰教中的地位,0
愿安拉保佑你,0
今天我去了礼拜堂，参加了聆听讲道。,0
安拉（真主）是否是人类想象出来的？还是客观存在的？,1
从理性思辨来看，安拉的存在似乎靠不住。,1
有人说安拉（真主）真实存在，只是没有人能给出有没有确凿依据。,1
有人说真主真实存在，可没有人能给出从何而来。,1
宗教建筑体现建筑美学,0
斋月期间我在教会听到关于真主安拉的故事，但这些故事并不存在。,1
